,Darija,English,MSA
2654,"يامكن ليك تحاول تقناع شيرير لكبير بهاد أنيا بغات فلوسها سافي, أُ نتا شاخص لواحيد ليكايبغيها بسّاح","You could try to convince the big pervert this Anya only wants her money, and that you're the only person who really loves her!",يمكنك محاولة إقناع الشخص المنحرف الكبير بأن أنيا تريد فقط أموالها، وأنك الشخص الوحيد الذي يحبها حقًا!
2655,"هادشي إقدر يانجاح, ناس لكبار كايكونو خايفين بزاف","That could work, old people are sometimes very paranoid.",قد ينجح ذلك، الأشخاص المسنون أحيانًا يكونون متوجسين جدًا.
2656,فيكرا مازيانا!,What a good idea!,يا لها من فكرة جيدة!
2657,أنا بغيت غير نضرب شي عوما بالما سخون أُ شي بيرّا,I just want to take a long hot shower and have a beer.,أريد فقط أن أأخذ دُشاً ساخناً طويلاً وأشرب بيرة.
2658,بقيت سخون معا لكالب,I stayed warm with the dog.,بقيت دافئاً مع الكلب.
2659,ماحدّ ماكاطلبش مني تفاراج ف كورا أُ تساخن پيزّا مجامدا,As long as you're not asking me to watch football and warm up a frozen pizza,طالما أنك لا تطلب مني مشاهدة كرة القدم وتسخين بيتزا مجمدة
2660,يامكن ليك تبقا لواقت ليبغيتي ف لحامّام أُ تشراب لبيرّا ديالك,you can stay as long as you want in the shower and drink your beer,يمكنك البقاء في الدش لأطول فترة تريدها وشرب بيرتك
2661,خاسّو يوالّف علا لجاو لخايب,He needs to get used to bad weather,يحتاج إلى التعود على الطقس السيئ
2662,حنا كانخاطو باش نتاقلو لساحل لغاربي ديال بريتانيا من لخر,we are planning to move to the west coast of Brittany after all!,نحن نخطط للانتقال إلى الساحل الغربي لبريتاني بعد كل شيء!
2663,"لا نيهاإيان, نتا كاتخاطاط تنتاقل ل لاڭويرا","Not at all, you plan to move to Laguira",أبدًا، أنت تخطط للانتقال إلى الكويرة
2664,"علا كول حال, لجاو ف مارّاكش زوين",In any case the weather in Marrakech is wonderful,في كل الأحوال، الطقس في مراكش رائع
2665,"تانكره هاد لبالاد, أُلا كايداوز واقت خايب 9 شوهور ف لعام","I hate this country, or it does a terrible time 9 months a year.",أكره هذا البلد، أو أنه يمر بأوقات سيئة تسعة أشهر في السنة.
2666,راها أقال روتوبا بزاف أُ أضواء شامالييا زوينا,It is far less humid and the northern lights are beautiful,إنه أقل رطوبة بكثير والأضواء الشمالية جميلة
2667,"مومكين علا قبل لماصاصات, والاكين ماشي بناسبا لييا","Maybe for popsicles, but not for me.",ربما للمصاصات الثلجية، ولكن ليس بالنسبة لي.
2668,غادي نكون ديما ف ريحلا باحرييا لداإرا لقوتبييا,I will always be on a cruise to the polar circle,سأكون دائمًا على متن رحلة بحرية إلى الدائرة القطبية
2669,"سماح لييا, شامال ديال أسفي","Excuse me, north of Asfi.",عفواً، شمال أسفي.
2670,بغيتيني نجيب ليك لعاصير ديالك لحامّام ديالك,You want me to bring your juice in your bath?,تريد مني أن أحضر عصيرك في حمامك؟
2671,هادشي غادي يكون عاضيم,That would be great,ذلك سيكون رائعًا
2672,سالام,Hello,مرحبا
2673,قاهوا بيضا?,Flat White?,فلات وايت؟
2674,أمريكانو?,Americano?,أمريكانو؟
2675,واش هي دايز من لمدينا? ماكانضنّش فايت شافتك هنا من قبال,Are you visiting the town? I don't think I have seen you in here before,هل أنت زائر للمدينة؟ لا أعتقد أنني رأيتك هنا من قبل
2676,ماعندي مانڭول,All right,حسنًا
2677,ماعريض لفانّي بعيد 100 ميتر علا لبار,The art gallery is just a hundred metres from the bar,المعرض الفني يبعد مائة متر فقط عن البار
2678,"بلعاكس, يالاه داقت غير دابا لقاهوا ديالك لبايدا.","Otherwise, I just had a taste of your white-mouth coffee.",وإلا، لقد تذوقت للتو قهوتك ذات الرغوة البيضاء.
2679,ماشي مازيان بزاف.,Not so good.,ليس جيدًا كثيرًا.
2680,واخا غادي نديرو أُ مان باعد غادي نحتاج نسربي لكليان اللي يالاه جا.,Right I'll do that and then I need to serve the customer who has just come in.,حسنًا، سأفعل ذلك ثم أحتاج إلى خدمة العميل الذي دخل للتو.
2681,شوكران بزف علا لموعاوانا ديالك.,Thanks very much for your help.,شكرًا جزيلًا على مساعدتك.
2682,"أوّ شوكران ليك, هادشي ليڭلتي لوطف من عانداك!","Aww thank you, that's so kind of you to say!",آه شكرًا لك، هذا لطف منك أن تقول ذلك!
2683,خاصاتان ستّاتي، هوا أفضل واحد عندي.,"Especially Sttati, he's my favorite.",خاصة ستاتي، إنه المفضل لدي.
2684,"أُه أه, تلاقيت معا لاتيفا فتريقي, بانت ليا درايفا بزف","Oh yes, I met Latifa on my way in, she did seem very nice",آه نعم، التقيت بلطيفة في طريقي إلى هنا، بدت لطيفة جدًا
2685,أُ والدي جيلالي مازال كايعاون شحالما قدار,And my son Jilali still helps out as much as he can,وابني جلالي لا يزال يساعد قدر استطاعته
2686,واش باقي عاقال علا جوليان?,Do you remember Julian?,هل تتذكر جوليان؟
2687,"والاكين راه كايخاس شاويا ديال لواقت, باش تراد ليك لبال.","But it must take her some time, to take care of you.",لكن يجب أن يستغرق منها بعض الوقت للاعتناء بك.
2688,كوفيتير ديال ألبات معا كوفيتير ديال توت ألباري.,The duck jam with the cranberry jam.,مربى البط مع مربى التوت البري.
2689,صعيب تاياب لباطّ,It's hard to cook the duck,من الصعب طهي البطة
2690,خاساتان ملي كادّير بزاف ل بزّاف ديال ناس,especially when you make a lot for a lot of people,خاصةً عندما تُعد الكثير لعدد كبير من الناس
2691,"والاكين هنا, الطياب إمكن إكون مازيان بزاف!","but here, the cook can do very well!",ولكن هنا، يمكن للطباخ أن يقوم بعمل جيد جدًا!
2692,"أُنتا كاتعرف شحال كانبغي زابدا أُ جبان أُ لماكلا لغانيّا, أُلّديدا","And you know how much I like butter and cheese and rich, tasty foods",وأنت تعلم مدى حبي للزبدة والجبن والأطعمة الغنية واللذيذة
2693,جاري حمزا كاياكل غير زلايف ديال سوبا، هادشي صحيح.,"My neighbor Hamza only eats bowls of soup, that's true.",جاري حمزة يأكل أطباق الحساء فقط، هذا صحيح.
2694,"واش بغيتي تمشي اللبيت لموشتاراك, باش تشراب كاس ديال أتاي?",Do you want to go to the common room for a cup of tea?,هل تريد الذهاب إلى الغرفة المشتركة لشرب فنجان من الشاي؟
2695,هاها، راك قتلتيني بضحك!,"Haha, you crack me up!",ههه، أنت تضحكني كثيرًا!
2696,"أُه, أه, هادي فيكرا مازيانا.","Oh, yeah, that's a good idea.",آه، نعم، هذه فكرة جيدة.
2697,أُه أنتا كاتعجبك لينا بزاف!,Oh wow you really do like Lina a lot!,يا للعجب! أنت حقًا تحب لينا كثيرًا!
2698,"إلا نتاقالتي لهنا, نقدرو نعيشو بجوج!","If you move in here, we could live together!",إذا انتقلت إلى هنا، يمكننا أن نعيش معًا!
2699,"إمكن لينا نحاولو, عازيزاتي!","We could try, my dear!",يمكننا أن نحاول، يا عزيزي!
2700,هاهيا لاميا.,Here's Lamia.,ها هي لمياء.
2701,هادي ماشي فيكرا ماسيحيا بزّاف!,That's not a very Christian idea!,هذه ليست فكرة مسيحية جدًا!
2702,"بلموناسابا, كانتمنّا تكون ماعردتيش علا إحسان.","By the way, I hope you didn't invite Ihsan.",على فكرة، آمل أنك لم تدعو إحسان.
2703,أُه...شكون ليكايخاسني نعراد عليه?,Oh... who should I invite?,آه... من يجب أن أدعو؟
2704,ماعنديش بزاف ديال الصحابات من غير مونا...,I don't have many friends except Mona...,ليس لدي الكثير من الأصدقاء باستثناء منى...
2705,أُو!,Ow!,آه!
2706,"أنا كانحدراك, راه هيا أُلا أنا.","I'm warning you, it's her or me.",أنا أحذرك، إما هي أو أنا.
2707,"كنت كانضن غادي نعرد علا أسّيا, كاتعرفها.","I thought I'd invite Assia, you know her.",فكرت أن أدعو آسيا، أنت تعرفها.
2708,ولات كاتبان غريبة منين بدات كتخدم على الاطروحة ديالها,She's been so weird since she's on the thesis.,لقد كانت غريبة الأطوار منذ أن بدأت بكتابة الرسالة.
2709,"كان عندي روتّويلر, والاكين تفكيت منو, راه كلا جاري.","I had a Rottweiler, but I had to get rid of it, he ate my neighbor.",كان لدي روتوايلر، ولكن اضطررت إلى التخلص منه، لقد أكل جاري.
2710,إوا كلينا روتّويلّر فعيد ميلاد ديال ولدي,So we ate the Rottweiler for my son's birthday,لذا تناولنا الروتوايلر في عيد ميلاد ابني
2711,ماحسش بسادما?,Was he not traumatised?,ألم يكن مصدومًا؟
2712,لا ولدك!,No your son!,لا ابنك!
2713,"لا, راه تلابها مرا خرا.","No, he asked for it again.",لا، لقد طلبه مرة أخرى.
2714,خلّاني مشطون شوييا.,It got me a little bit worried.,أثار ذلك قلقي قليلاً.
2715,إوا إمكن ليه إجي هاد الليلا أُ إتعامل معا رش!,Well he could come along tonight and deal with Rex!,حسنًا، يمكنه أن يأتي الليلة ويتعامل مع ريكس!
2716,"أُه, إمكن شي حاجة مزيانا ماقدرتش نشدها من بعد.","Oh, probably a good thing I couldn't catch it then.",آه، ربما كان من الجيد أنني لم أتمكن من الإمساك به حينها.
2717,واش كاتقسد هادشي?,Do you mean this?,هل تقصد هذا؟
2718,واخا!,Ok then!,حسنًا إذًا!
2719,سماحليا سداعتاك,Sorry to bother you,آسف لإزعاجك
2720,والاكين هادي أوال تسافيرا فتيّارا ليا أُ أنا خايفا شوييا,but it's my first flight ever and I'm a little scared,ولكنها أول رحلة طيران لي على الإطلاق وأنا قليلاً خائف
2721,واش ماعنداكش موشكيلا إلا دوينا شوييا قبل مانقلّعو?,Do you mind if we chat a bit during take-off?,هل تمانع إذا تحدثنا قليلاً أثناء الإقلاع؟
2722,"لا, نيهاإيان!","No, not at all!",لا، أبدًا!
2723,نتا غادي باش دوز لعوتلا؟,You're leaving for a holiday?,هل أنت مغادر لقضاء عطلة؟
2724,أوال ريحلا ليا لبرا!,My first ever abroad!,أول سفر لي إلى الخارج على الإطلاق!
2725,"أُ زايدون, هادي هيا أكتار تاريقا امينا باش إدّيوها, كيما كايڭولو.","Besides, this is the safest way to transport it, as they say.",علاوة على ذلك، هذه هي الطريقة الأكثر أماناً لنقله، كما يقولون.
2726,خاسك تساول علا كاس ديال شراب.,You should ask for a glass of wine.,يجب أن تطلب كأساً من النبيذ.
2727,غادي إكون هادشي لوطف منّك.,That would be very nice of you.,ذلك سيكون لطيفًا جدًا منك.
2728,"طايارا, أمينا بزاف","The plane, it's very safe.",الطائرة، هي آمنة جدًا.
2729,أُ شوكران علا طرف ديال شوكولاتا,And thank you for the chocolate bar,وشكراً لك على لوح الشوكولاتة
2730,خراجتها مان ساك ديالك ملي ماكنتيش كاتشوف,I took it out of your bag whilst you weren't looking,أخرجته من حقيبتك بينما لم تكن تنظر
2731,إمكن ماكايعجابنيش تاياران من هادشي كولّو,Maybe I don't like flying after all,ربما لا أحب الطيران في النهاية
2732,واش فلخر تفاراقتي معا ساحباك?,You finally split up with your friend?,هل أنتما أخيرًا انفصلتما عن صديقك؟
2733,إمكان حتا أنا مقالقا شوييا?,"Maybe a little worried, too?",ربما قليلاً قلق أيضًا؟
2734,صاحبي هاه!,My friend hah!,صديقي هاه!
2735,صاحبتي هاه!,My friend hah!,صديقي هاه!
2736,ماشي بزاف ديال ساناوات.,Not for years.,ليس لسنوات.
2737,فراسك,You know,أنت تعلم
2738,كان كايسحابليك أنا ماعارفاش أش كان هوا أُ مارتين كايديرو ملي كايڭوليا بلي كايلاعبو ل باسكت,he thought I didn't know what him and Martin were doing when they said they were playing basketball,ظن أنني لا أعلم ما كان يفعله هو ومارتن عندما قالا إنهما كانا يلعبان كرة السلة
2739,نتا بسّح مابقيتيش كاتسماع ليا بحال كيما كان,you don't really listen to me any more than he ever did,أنت لا تستمع إليّ حقًا أكثر مما كان يفعل هو من قبل
2740,كانضن هادا هوا ساباب ليكان مخاليني ديما مرتابتا بيك,I think that's why I've always been so attached to you,أعتقد أن هذا هو السبب في أنني كنت دائمًا متعلقًا بك
2741,"أُه, يالاه سافي ... نتا عاراف بلي هادشي ماشي سحيح.","Oh, come on... You know that's not true.",آه، تعال... أنت تعلم أن هذا ليس صحيحًا.
2742,أنا عارف هادشي,I know that,أنا أعلم ذلك
2743,"بساراحا, كان غادي إديرها, كون كان كايسماع ليا","Frankly, and he would've, if he'd ever listened to me",بصراحة، وكان سيفعل، لو كان قد استمع إليّ يومًا
2744,علاش كادن بلي درت هادشي?,Why do you think I did this?,لماذا تعتقد أنني فعلت هذا؟
2745,كان داكشي باش نقدرو نكونو معا باعدياتنا.,It was so that WE could be together.,كان ذلك حتى نتمكن من البقاء معًا.
2746,كاتداهار بلي باغي تعراف كيفاش داز نهاري,pretending to want to know how my day was,يتظاهر برغبته في معرفة كيف كان يومي
2747,كيفاش حسيت بلحوايج,how I felt about things,كيف شعرت تجاه الأمور
2748,علاش كنت كانقلاب ف لحايات?,What was I looking for in life?,ما الذي كنت أبحث عنه في الحياة؟
2749,"أُلا بل أحرا, لمريد ديالي ليمن باعد, بلموناسابا.","Or rather, my next patient, by the way.",أو بالأحرى، مريضي التالي، على فكرة.
2750,"أُهلالا, مابقيتش كانعرف هاد لبلاسا ڭاع.","Ohlala, I don't recognize this place at all.",يا لها من مفاجأة، لا أتعرف على هذا المكان على الإطلاق.
2751,هادشي شي حاجا...,That's something...,ذلك شيء...
2752,غادي ياخاد لينا بزاف ديال لواقت باش نرجعو من تريق ليجينا منها,It will take us hours to get back the way we come,سوف يستغرق منا ساعات للعودة من الطريق الذي أتينا منه
2753,"فدلام, أُ فوست ڭاع هاد لغايس ...","in the dark, and through all that mud ...",في الظلام، وعبر كل ذلك الوحل ...
2754,علا حساب لخاريطة، خاص يكون شوية د الصخر، صخرة كبيرة ولا جرف صغير حدا قمة الجبل.,"According to the map there should be some rocks, a crag or a small cliff near the top of the hill.",وفقًا للخريطة يجب أن يكون هناك بعض الصخور، صخرة كبيرة أو جرف صغير بالقرب من قمة التل.
2755,أه أنا كانڭول بلي هاداك سبع.,Yes I'd say that's a lion.,نعم، أقول إن ذلك أسد.
2756,لسوء الحظ لكتابا ديالي خايبا بازاف,Unfortunately my typing is bad,للأسف، إنَّ كتابتي سيئة
2757,كنت كانقساد إلا لقينا لحجار ماشي قدافنا لحجار.,I meant if we find the rocks not if we fling the rocks.,أقصد إذا وجدنا الصخور لا إذا رمينا الصخور.
2758,أنحتاجو نوافّرو الطاقا ديالنا ل طلعا أُ ف النزول الطويل.,We need to save our energy for the climb and the long walk down.,نحتاج إلى توفير طاقتنا للتسلق والمشي الطويل للنزول.
2759,"يالاه نتحاركو دابا, أُلا غادي نبقاو هنا شي يامات!","let's move now, or we'll be here in a few days!",لنتحرك الآن، وإلا سنكون هنا بعد بضعة أيام!
2760,إدان حنا كاينين فلحافا ديال لجارف,So here we are at the edge of the cliff,فنحن هنا على حافة الهاوية
2761,شوف لهيه كاين العصى و الفيلاج ,"and look there's the rod, and the village.",وانظر هناك العصا، والقرية.
2762,"راد بالك, هاد لحجار راه كاتزالاق بزاف, مبغيتيش طيح","Be careful, these rocks are rather slippery, don't want to fall",كن حذرًا، هذه الصخور زلقة جدًا، لا تريد أن تسقط
2763,ماشي مزيان.,Not so good.,ليس جيدًا كثيرًا.
2764,"ماشي مازيان, لا.","Not so good, no.",ليس جيدًا كثيرًا، لا.
2765,"أه, كاس من شامپاڭن غادي راجعني هوا هاداك.","Yes, a good glass of champagne will do me great.",نعم، كأس جيد من الشمبانيا سيكون مفيدًا لي.
2766,"لواليدا, عافاك خاليني نتشووش عليها, بغيت نارتاح.","Mother, please let me worry about it, I want to rest.",يا أمي، من فضلك دعيني أقلق بشأنه، أريد أن أستريح.
2767,"عاراف, عاراف, أُنتا ماسابرش","I know, I know, and you're not holding up",أعلم، أعلم، وأنت لا تصمد
2768,ماقادرش تاخود شوييا ديال لواقت تفكار فيه,you're not able to take time to think about it,أنت غير قادر على أخذ الوقت للتفكير فيه
2769,أُلا حتا أناك ماتفاكار فتاحاجا,Or even think of nothing,أو حتى لا تفكر في شيء
2770,تسابت بلماراد لفارانسي ليكايبان ملي كايبقاو راجليك إتمالملو.,I've got the French disease of restless legs.,لدي مرض الفرنسي للساقين القلقتين.
2771,"ڭاع داكشي لفارانسي, كايتلاحد ديما.","All those French things, always being noticed.",كل تلك الأشياء الفرنسية، دائمًا ما تلفت الانتباه.
2772,هادا هوا واقت لمشروبات.,It's time for drinks.,حان وقت المشروبات.
2773,أه كنت كنضحك معك,Yes I was pulling your leg.,نعم، كنت أمزح معك.
2774,واش سافي تافقنا?,Do we have a deal?,هل لدينا اتفاق؟
2775,نتا كاتستاحاق باش تحمالني.,You deserve to put up with me.,أنت تستحق أن تتحملني.
2776,إدان كانواعداك غادي نخليك بوحدك,Then I promise to leave you alone,ثم أعدك بأن أتركك وحيدًا
2777,عقلك مسدود,You have a one track mind.,عقلك يسير في اتجاه واحد.
2778,ماكايعايتوش ليك إينستين علا داكشي,They don't call you Einstein for that,لم يطلقوا عليك اسم أينشتاين لهذا السبب
2779,لا ماكايعايتوش عليك إينستين ڭاع.,No they don't call you Einstein at all.,لا، لا ينادونك بأينشتاين على الإطلاق.
2780,واش داروها,Do they?,هل هم؟
2781,سير نتا.,You go.,انت تذهب.
2782,واياه هادشي أسهال.,Sure it's easier.,بالتأكيد هو أسهل.
2783,"راك عارفني عاندي معا طياب, إدان نقدر ندير شيحاجا إلا بغيتي.","But you know I like to cook, so I can also do one of the things if you want.",ولكنك تعلم أنني أحب الطهي، لذا يمكنني أيضًا أن أقوم بإحدى الأمور إذا أردت.
2784,أُه هادشي غادي إكون غزال.,Oh that would be lovely.,يا لها من فكرة رائعة.
2785,واش تقدر دير ليا كيكا ديال فروتا وتزاوقها بتلج,Could you make me a fruit cake with icing decorations?,هل يمكنك صنع كعكة فواكه لي مع زينة الصقيل؟
2786,"مرحبا, ألاه ياودي!","Yes, of course!",نعم، بالطبع!
2787,أشمن ديسّير بغيتي?,What kind of fruit do you prefer?,أي نوع من الفاكهة تفضل؟
2788,الزبيب أُ مشماش يابسّ هوما أعازّ حاجة عندي,raisins and dried apricots are my favourites,الزبيب والمشمش المجفف هما المفضلان لدي
2789,"واخا, أندير داكشي.","All right, I'll do that.",حسنًا، سأفعل ذلك.
2790,"نقدر نڭاد زاجا, تاهوا, إلا بغيتي.","I can make glassworks, too, if you want.",يمكنني أيضًا صنع الأعمال الزجاجية، إذا أردت.
2791,هادشي مناسب ف لعوتلا.,It's convenient for the holidays.,إنه مناسب للعطلات.
2792,بغيتها بحال شي كسوا زويونا.,I would like to make it fancy dress too.,أود أن أجعلها حفلة تنكرية أيضًا.
2793,نقدرو نديرو بحال شاخسيات جامس بوند أولا لقاراسينا.,We could have a theme like James Bond characters or pirates.,يمكن أن يكون لدينا موضوع مثل شخصيات جيمس بوند أو القراصنة.
2794,عفاك عطيني جملة نترجمها,Please provide me with a sentence to translate.,الرجاء تزويدي بجملة لترجمتها.
2795,عجباتني فيكرات جامس بوند.,I like the idea of James Bond characters.,أنا أحب فكرة شخصيات جيمس بوند.
2796,أيخالي ناسّ يبانو مبوڭسّين.,It makes people look a little bit classy.,إنه يجعل الناس يبدون أنيقين بعض الشيء.
2797,أنا أنكون أُكتوپوسّي.,I'll be Octopussy!,سأكون أوكتوبوسي!
2798,بيغيتيني نكون جامس?,You want me to be James?,تريد مني أن أكون جيمس؟
2799,لموشكيلا إقدرو يكونو بزاف ديال جامس.,The problem is there may be several James!,المشكلة هي أنه قد يكون هناك عدة أشخاص بإسم جيمس!
2800,"فيعلان, غاتكون أحسّان جامس ڭاع!","Of course, you'll be the best James ever!",بالطبع، ستكون أفضل جيمس على الإطلاق!
2801,أنا ماكنشبهش ليه...,I don't look like him...,أنا لا أشبهه...
2802,"واخا,و لمشروبات, أش نديرو فيهوم?","Well, how about the drinks, what do you suggest?",حسنًا، ماذا عن المشروبات، ماذا تقترح؟
2803,نقدرو صايبو سانڭريا.,We could make sangria.,يمكننا أن نصنع سانجريا.
2804,أُ إلا كان لجوو مزيان نقدرو نحتافلو ف جاردا.,And if the weather is nice we could hold it in the garden.,وإذا كان الطقس جميلاً يمكننا إقامته في الحديقة.
2805,"أيه, هادي فيكرا مازيانا.","Yes, that's a good idea!",نعم، هذه فكرة جيدة!
2806,دابا صافي خاسّنا غير نشوفو دياف لي غايحادرو ونسيفتو لعراضات.,Now all we have to do is make the guest list and send out the invites.,الآن كل ما علينا فعله هو إعداد قائمة الضيوف وإرسال الدعوات.
2807,غادي نبدا فداكشي.,I'll get started on it.,سأبدأ العمل عليه.
2808,عاندي أغلابيا ت الناس ف إمايل أُ هادي غاتكون أسّراع طاريقا.,I've got most people in email so that would be the quickest way.,لدي معظم الأشخاص عبر البريد الإلكتروني، لذا سيكون ذلك أسرع طريقة.
2809,أه,Yeah.,نعم.
2810,غادي ندير إ-مايل.,E-mails will do.,البريد الإلكتروني سيكون كافيًا.
2811,هادي بدّبط هيا لعوتلا لي بغيت.,This is exactly the vacation I wanted.,هذه بالضبط الإجازة التي أردتها.
2812,"پيسسين, شامش أُ التا حاجة خرا.","A swimming pool, sun and nothing else.",بركة سباحة، شمس ولا شيء آخر.
2813,صافي تاحاجا أخرا?,Nothing else?,لا شيء آخر؟
2814,حتا شي ريحلا ل مدينا?,Not even a trip into town?,حتى لا رحلة إلى المدينة؟
2815,نسيت كتاب زويّن.,I forgot a good book.,نسيت كتابًا جيدًا.
2816,"نقدرو نمشيو نديرو تاساوق سيياحي,نشوفو ل أتار لي ف لمدينا!","We could do some tourist shopping, or even go sightseeing!",يمكننا أن نقوم ببعض التسوق السياحي، أو حتى نذهب لمشاهدة المعالم!
2817,"لمدينا, كانشوفها لعام كامل!","The city, I see it the rest of the year!",المدينة، أراها بقية العام!
2818,والاكين لمدينا هيا لمدينا.,But the city's the city.,لكن المدينة هي المدينة.
2819,حنا برّا البلاد!,We're abroad!,نحن في الخارج!
2820,ماشي بحال بحال.,It's not the same thing.,ليس نفس الشيء.
2821,ماشي نفس لحاجة.,It's not the same thing.,ليس نفس الشيء.
2822,"غايكون بني جديد نشوفوه, تاماتيل, أتار, ماعاريد تاع لفان.","There'll be new architecture to see, statues, monuments, art galleries.",سيكون هناك عمارة جديدة للمشاهدة، تماثيل، نصب تذكارية، معارض فنية.
2823,نتا عاندك معا تاقافا!,You know culture!,أنت تعرف الثقافة!
2824,"أه, والاكين زوين مارا مارا تڭلسّ فشي بلاسّا ترتاح.","Yeah, but it's nice every once in a while to land somewhere and relax.",نعم، ولكن من الجميل أن تهبط في مكان ما من حين لآخر وتسترخي.
2825,والاكين حنا مرتاحين لعام كامل.,But we relax the rest of the year.,لكننا نسترخي بقية العام.
2826,كادّووز نهار كامل فدار ڭالسّ تاتشمش ف جاردا.,You spend all day at home sunning in the garden.,تقضي كل اليوم في المنزل تتشمس في الحديقة.
2827,أنا بسّاح بغيت نخروج شوييا.,I really want to get out a bit.,أريد حقًا أن أخرج قليلاً.
2828,هاد دراري صغار باقي تيلوحو عليا الما !,And those kids keep splashing me!,وتلك الأطفال تستمر في رش الماء عليّ!
2829,علاياش تاتهدر?,What are you talking about?,عن ماذا تتحدث؟
2830,"تقدر تمشي إلا بغيتي, ورجع ليا","You can go if you want, and you come back for me",يمكنك الذهاب إذا أردت، وتعود من أجلي
2831,كايسحاب ليهوم رشان لما علييا راه كايداحك,They think it's really funny to spray water at me.,يعتقدون أن رش الماء عليّ أمرٌ مضحكٌ جداً.
2832,ماكانقدرش نقرا منين كايكونو صافحات ساردين,I can't read when the pages are wet.,لا أستطيع القراءة عندما تكون الصفحات مبللة.
2833,مابغيتش ناعيا,I don't want to tire,لا أريد أن أتعب
2834,أنا ماغادي لحتا بلاسا,I'm not going anywhere!,لن أذهب إلى أي مكان!
2835,أش بان ليك إلا حاتينا روايد ديال ناموسييا ديالك أُ أنا ندافعك فڭاع ناواحي ديال لمادينا,How about we put wheels on your sunbed and I push you around town on it.,ما رأيك لو وضعنا عجلات على كرسي الاستلقاء للتشمس الخاص بك وأقوم بدفعك حول المدينة عليه.
2836,واش هادشي مقبول?,Would that be ok?,هل سيكون ذلك جيدًا؟
2837,غادي يكون بحال كاروسا,It would be like a rickshaw!,سيكون مثل الريكشا!
2838,أُ كيفاش غادي نوالي نبان,And what would I look like?,وكيف سأبدو؟
2839,جيب لييا پيسين أخور ف لمادينا,Get me another pool in town.,احصل لي على مسبح آخر في المدينة.
2840,قاقدر هير تكّا ف شامش أُ تهادن,You could just lie back in the sun and relax!,يمكنك فقط أن تستلقي تحت الشمس وتسترخي!
2841,أُ مازال نقدرو ندورو ف لمادينا ماجموعين!,And we'd still get to go around town together!,وما زلنا سنتمكن من التجول في المدينة معًا!
2842,ماشي معقول,It's not fair.,ليس ذلك عادلاً.
2843,ماشي معقول,It's not fair.,ليس ذلك عادلاً.
2844,حنا ديما كانديرو داكشي ليكاتبغي,We always do what you want to do.,نحن دائمًا نفعل ما تريد أن تفعل.
2845,غادي نمشيو لمدينا غدا,We'll go into town tomorrow.,سنذهب إلى المدينة غدًا.
2846,والاكين غدا عامرو ماكايجي,But tomorrow never comes.,ولكن الغد لا يأتي أبدًا.
2847,واش كاتواعد?,Do you promise?,هل تعد؟
2848,"أه, كانواعدك","Yes, I promise.",نعم، أعدك.
2849,فكّر فشي بارناماج.,Think about a program.,فكر في برنامج.
2850,"دابا تقدر تحات شوييا ديال واقي شامش, عافاك","Now can you put some sunscreen on, please?",هل يمكنك وضع بعض واقي الشمس الآن، من فضلك؟
2851,أُه نتا ولا أنا?,On you or me?,عليك أم عليّ؟
2852,"أهلان لهوسّين, كيداير ليوم?","Hello Lhossein, how are you today?",مرحبا لحسين، كيف حالك اليوم؟
2853,"أنا شارفا, أُ ڭاع عدامي كايدرّوني","I'm old, and all my bones ache",أنا كبير في السن، وجميع عظامي تؤلمني
2854,واش هدارتي معا لفرمليا أُ معا تبيب?,Did you talk to the nurses and the doctor?,هل تحدثت إلى الممرضات والطبيب؟
2855,مومكين نعطي شي حاجا باش نخافّاف ألام ديالك,Maybe it's possible to offer something to ease your pain?,ربما يمكن تقديم شيء لتخفيف ألمك؟
2856,كانفادال كاس كبير ديال شراب شوكران ليك,I would prefer a large glass of wine thank you.,أفضل كأساً كبيراً من النبيذ شكراً.
2857,"أنا مامتأكداش طبيب واش موافق عليها, والاكين تاقدر تسولو","I'm not sure the doctor's okay with it, but you can ask him.",لست متأكداً إذا كان الطبيب موافقاً عليه، ولكن يمكنك أن تسأله.
2858,جيت بلحالوا,I came with cakes,جئت بالكعك
2859,"طبيب غاليبان غايڭول 'لا', داكشي علاش غادي نخرج أُ نشري قارعا ديال لما أُ نخزانها","Doctor will probably say 'no', so I'll just go out and buy a bottle of water and hide it",من المحتمل أن يقول الطبيب 'لا'، لذا سأخرج لشراء زجاجة ماء وأخفيها
2860,يقدر هادشي يفارحك ...,Maybe this will cheer you up...,ربما هذا سيُسعدك...
2861,لحالوا فيكرا زوينا,The cakes are a good idea.,الكعكات فكرة جيدة.
2862,نقادرو نتماتعو بيهوم معا كاس ولا جوج ديال أتاي,We can enjoy them with a cup or two of tea.,يمكننا الاستمتاع بها مع فنجان أو اثنين من الشاي.
2863,"إلا بغيتي تشري قارعا ديال شراب أُ تشرابها بتخبيا, شري قارعا زوينا","If you want to buy a bottle of wine and drink it secretly, buy a nice bottle",إذا أردت شراء زجاجة نبيذ وشربها سرًا، اشترِ زجاجة جيدة
2864,جبت ليك سديات الجاز لكيعجبوك,I also got your favorite jazz CDs.,لقد حصلت أيضًا على أقراص الجاز المفضلة لديك.
2865,باقي عندي لفلوس من عيد ميلادي,I still have money left from my birthday,لا يزال لديّ مال متبقٍ من عيد ميلادي
2866,أجي دغيا.,come over as soon as you can.,تعال فورًا ما استطعت.
