idx,English,Darija,MSA,Checkbox,Darija corrected,Observations
1269,a little,شويا,قليلاً,TRUE,,
1270,call the police,عيّط ل لبوليس,اتصل بالشرطة,TRUE,,
1271,do you have anything cheaper,عندك شي حاجة رخيصا,هل لديكم شيء أرخص,TRUE,عندك شي حاجة رخص,
1272,do you take credit card,واش كاتقبل كارت بانكاير,هل تقبلون بطاقة الائتمان,TRUE,واش كاتقبل كارت بونكير,
1273,how are you paying,كيفاش غاتخلّص,كيف ستدفع,TRUE,,
1274,How many people are there in Ifran?,شحال ت الناس كاينين ف إفران,كم عدد الأشخاص في إفران؟,TRUE,,
1275,how much does it cost per day,بشحال كاتطلع فنّهار,كم يكلف في اليوم,TRUE,,
1276,how much does it cost,شحال دايرا,بكم تكلفة ذلك؟,TRUE,,
1277,how much does it cost,شحال كاتسوا,بكم تكلفة ذلك؟,TRUE,,
1278,how much money do you make,شحال كاتصووّر ت لفلوس,كم من المال تكسب,TRUE,,
1279,how much is it to go to America,بشحال غطّلع عليك لمشيا ل ميريكان,كم تكلفة الذهاب إلى أمريكا,TRUE,,
1280,I don't have a girlfriend,ماعنديش ساحبتي,ليس لدي صديقة,TRUE,,
1281,I have a reservation,أنا مريزيرڤي,لديّ حجز,TRUE,,
1282,I'll have the same thing,غاناخود نفس لحاجا,سأطلب نفس الشيء,TRUE,,
1283,I'll pay for dinner,غانخلّص لعشا,سأدفع ثمن العشاء,TRUE,,
1284,I'll pay for dinner,لعشا علا حسابي,سأدفع ثمن العشاء,TRUE,,
1285,I don't have any money,ماعنديش فلوس,ليس لدي أي نقود,TRUE,,
1286,I'm 26 years old,عندي 26 عام,أنا عمري ٢٦ سنة,TRUE,,
1287,I need to practice my English,خسّني نتريني علا ل'انڭلايس,أحتاج إلى ممارسة اللغة الإنجليزية,TRUE,خسّني نتريني علا لونغلي,
1288,is that ok?,هادشي مزيان?,هل هذا جيد؟,TRUE,,
1289,is there any letter for me,واش كاينا شي برا ليا,هل يوجد أي خطاب لي,TRUE,,
1290,it's 10:30,هادي 10:ع0,الساعة العاشرة والنصف,TRUE,هادي 10ونص,
1291,it's a quarter past nine,هادي التسعود أُ ربع,الساعة التاسعة والربع,TRUE,,
1292,please come in,تفضّل,من فضلك تفضل بالدخول,TRUE,,
1293,sorry we don't accept credit cards,سمح لينا ماكانقبلوش كارت بانكاير,آسف، لا نقبل بطاقات الائتمان,TRUE,سمح لينا ماكانقبلوش كارت بونكير,
1294,that restaurant is not expensive,ديك رستورا ماغالياش,ذلك المطعم ليس بمكلف,TRUE,,
1295,that's too expensive,هادشي غالي بزّاف,ذلك غالٍ جدًا,TRUE,,
1296,there are many people here,كاين بنادم بزّاف هنا,هناك الكثير من الناس هنا,TRUE,,
1297,they charge 260 dhs per day,كايحسبو 260 درهم ل النهار,يتقاضون 260 درهماً في اليوم,TRUE,,
1298,what's the phone number,شناهيا نمرا ت تيليفون,ما هو رقم الهاتف,TRUE,,
1299,where can I buy tickets,فين إمكن نقطّع لوراق,أين يمكنني شراء التذاكر,TRUE,,
1300,where would you like to meet,فين بغيتي نتلاقاو,أين تود أن نلتقي,TRUE,,
1301,which one is better,شكون فيهوم اللي حسن,أيهما أفضل,TRUE,,
1302,at 3 o'clock,معا 3 واقفا,الساعة الثالثة,TRUE,,
1303,be quiet,كون مهدّن,اصمت,TRUE,,
1304,Can you recommend a good restaurant?,واخا تقتارح عليا شي رستورا زوينا,هل يمكنك أن توصي بمطعم جيد؟,TRUE,,
1305,here it is,هاهيا,ها هو هنا,TRUE,هاهو,
1306,here you are,هانتا,تفضل,TRUE,,
1307,he's in the kitchen,راهوا ف لكوزينا,إنه في المطبخ,TRUE,,
1308,he studies at Mohamed 5 University,كايقرا ف جاميعات موهامد لخاميس,يدرس في جامعة محمد الخامس,TRUE,كايقرا ف جامعة محمد لخامس,
1309,how far is it,بشحال بعيدا,كم المسافة؟,TRUE,,
1310,how far is it to Lagouira,بشحال بعيدا لاڭويرا,كم المسافة إلى الكويرة؟,TRUE,,
1311,I'd like a single room,بغيت شامبر وحدا,أرغب في غرفة مفردة,TRUE,,
1312,I like to watch TV,عزيز عليا نتفرّج ف تلفازا,أحب مشاهدة التلفاز,TRUE,,
1313,it's half past 11,هادي 11 أُ نسّ,الساعة الحادية عشر والنصف,TRUE,,
1314,it's less than 5 dhs,قلّ من 5 دهس,إنها أقل من 5 دراهم,TRUE,,
1315,it's more than 5 dhs,كتر من 5 دهس,إنها أكثر من 5 دراهم,TRUE,,
1316,it's near the supermarket,حدا سوپرمارشي,إنه بالقرب من السوبر ماركت,TRUE,,
1317,it's not supposed to rain today,مامتوقّعاش أناها الطيح شتا ليوما,لا يُفترض أن يمطر اليوم,TRUE,,
1318,it's ok,هانيا,إنه جيد,TRUE,مزيان,
1319,it's really hot,وا سخون لحال نيت,إنه حار جدًا,TRUE,,
1320,I was going to the library,كنت غادي لمكتابا,كنت ذاهبًا إلى المكتبة,TRUE,,
1321,I was in the library,كنت فلمكتابا,كنت في المكتبة,TRUE,,
1322,my house is close to the bank,داري حدا ل بانكا,بيتي قريب من البنك,TRUE,,
1323,near the bank,حدا ل بانكا,بالقرب من البنك,TRUE,,
1324,on the second floor,فل إتاڭ التاني,في الطابق الثاني,TRUE,فل إتاج التاني,
1325,outside the hotel,علا برّا ديال لوطيل,خارج الفندق,TRUE,,
1326,the book is behind the table,لكتاب راه مورا طبلا,الكتاب خلف الطاولة,TRUE,,
1327,the book is in front of the table,لكتاب راه ڭدّاب طبلا,الكتاب أمام الطاولة,TRUE,لكتاب راه ڭدّام طبلا,
1328,the book is near the table,لكتاب راه قريب ل طبلا,الكتاب بالقرب من الطاولة,TRUE,,
1329,the book is next to the table,لكتاب راه حدا طبلا,الكتاب بجانب الطاولة,TRUE,,
1330,the book is on top of the table,لكتاب راه فوڭ طبلا,الكتاب فوق الطاولة,TRUE,,
1331,there are some books on the table,راه كاينين شي كتوبا فوق الطبلا,هناك بعض الكتب على الطاولة,TRUE,,
1332,there is a book under the table,راه كاين واهد لكتاب تحت طبلا,هناك كتاب تحت الطاولة,TRUE,راه كاين واحد لكتاب تحت طبلا,
1333,what's the address,شناهيا لادريسا,ما هو العنوان,TRUE,,
1334,where are you going,فين أوا غادي,أين أنت ذاهب,TRUE,,
1335,where it is,فيناهيا,أين هو,TRUE,فيناهو,
1336,where would you like to go,فين نغيتي تمشي,أين تود أن تذهب,TRUE,,
1337,who won,شكون ربح,من فاز,TRUE,,
1338,Can I see your passport please?,واخا نشوف ل پاسّپور ديالك عافاك,هل يمكنني رؤية جواز سفرك من فضلك؟,TRUE,,
1339,can I try it on,واش واخا نجرّبها,هل يمكنني تجربته,TRUE,,
1340,can we sit over there,واش واخا نڭلسو تمّا,هل يمكننا الجلوس هناك,TRUE,,
1341,did you come with your family,واش جيتي معا لعاإلا ديالك,هل جئت مع عائلتك؟,TRUE,,
1342,do you think it's possible,واش كاتعتاقد أنّاها مومكينا,هل تعتقد أنه ممكن,TRUE,واش كاتعتاقد أنّاهو مومكين,
1343,here is my number,هاهيا نمرتي,ها هو رقمي,TRUE,,
1344,I'd like some water too please,بغيت شويا تلما عافاك,أود بعض الماء أيضًا من فضلك,TRUE,,
1345,I'd like to buy something,بغيت نشري شي حاجة,أود شراء شيء ما,TRUE,,
1346,I'd like to rent a car,بغيت نكري شي طوموبيل,أود استئجار سيارة,TRUE,,
1347,I'd like to send this to America,نغيت نسيفط هادشي ل ميريكان,أود أن أرسل هذا إلى أمريكا,TRUE,,
1348,I'd like to speak to your boss,بغيت نهدر معا لمودير ديالك,أود التحدث إلى مديرك,TRUE,,
1349,"I have three children, two girls and one boy","عندي تلاتا ت الدراري, جوج بنات أُ ولد",لدي ثلاثة أطفال، اثنتان بنات وواحد ولد,TRUE,,
1350,I'll be right back,هاني جاي دغيا,سأعود حالاً,TRUE,,
1351,I'll call back later,دابا ندوور من بعد,سأتصل لاحقًا,TRUE,,
1352,I'll call you on Friday,دابا ندوور ليك نهار الجمعا,سأتصل بك يوم الجمعة,TRUE,,
1353,I'll teach you,دابا نقرّيك,سأعلمك,TRUE,,
1354,I'm ok,أنا بيخير,أنا بخير,TRUE,,
1355,I want to give you a gift,بغيت نعطيك كادو,أريد أن أعطيك هدية,TRUE,,
1356,male or female,راجل أُلّا مرا,ذكر أم أنثى,TRUE,,
1357,my cell phone doesn't have good reception,تيليفوني ماكايشدّش الريزو مزيان,هاتفي المحمول لا يستقبل إشارة جيدة,TRUE,,
1358,my cell phone doesn't work,تيليفوني ماخدّامش,هاتفي المحمول لا يعمل,TRUE,,
1359,please take off your shoes,عافاك حيّد صبّاطك,من فضلك اخلع حذاءك,TRUE,,
1360,"sorry, I think I have the wrong number","سمح ليا, كانضنّ عندي نمرا غالاط",آسف، أعتقد أنني اتصلت بالرقم الخطأ,TRUE,,
1361,What's the name of the company you work for?,شنو سميّت شاريكا لي خدّام معاها,ما اسم الشركة التي تعمل بها؟,TRUE,,
1362,what's wrong,شنو لموشكيل,ما المشكلة,TRUE,,
1363,where can I find a hospital,فين إمكن نلقا شي سبيطار,أين يمكنني أن أجد مستشفى,TRUE,,
1364,where is the closest restaurant,فين كاينا أقراب رستورا,أين أقرب مطعم,TRUE,,
1365,where is the pharmacy,فين كاين لفرماسيان,أين الصيدلية,TRUE,,
1366,who are you,شكون نتا,من أنت؟,TRUE,,
1367,who's that,شكون هادا,من ذلك,TRUE,,
1368,will you take me home,واش واخا تدّيني ل دار,هل ستأخذني إلى المنزل,TRUE,,
1369,Would you like water or milk?,بغيتي لما أُلا لحليب,هل ترغب في الماء أو الحليب؟,TRUE,,
1370,chill out.,رتاح.,استرخ.,TRUE,,
1371,if you just trusted all of us to do our jobs we would be so much more effective,كون هير تيّقتينا كولّنا أنانا غانديرو خدامينا غانكونو فعّالين كتر,لو كنت تثق بنا جميعًا في أداء أعمالنا لكنا أكثر فاعلية بكثير,TRUE,كون غير تقتي فينا كولّنا بلي غانديرو خدامينا غانكونو فعّالين كتر,
1372,This is not a good start to the day,هادي ماشي بديا زينا ل نهار,هذا ليس بداية جيدة لليوم,TRUE,,
1373,As you say.,كلامك هووا لكبير,كما تقول.,TRUE,,
1374,"I've got so much to do today, you know there are tight deadlines for that project","عندي بزّاف مايدار ليوما, راك عارف لوقت مزيير ف هاد ل پروجت",لدي الكثير لأفعله اليوم، أنت تعلم أن هناك مواعيد نهائية ضيقة لذلك المشروع,TRUE,,
1375,Let's see if anything happens quickly.,نشوفو إلا ترات شي حاجا ب زربا,لنرى إذا حدث أي شيء بسرعة.,TRUE,,
1376,I wish I had climbed the stairs,كانتمنّا كون تلعت ف دروج,أتمنى لو كنت قد صعدت الدرج,TRUE,,
1377,It's true that this project is late.,بسّاح هاد ل پروجت معتّل,من الصحيح أن هذا المشروع متأخر.,TRUE,,
1378,Do you do a lot of sports?,واش كادير رييادا بزّاف?,هل تمارس الكثير من الرياضة؟,TRUE,,
1379,Oh you are so funny,نتا كادّحك بزّاف,يا لك من مضحك,TRUE,,
1380,You do push my buttons sometimes,كاتعسّبني شي مرّات,أنت تضغط على أزراري أحيانًا,TRUE,,
1381,"There are several hundred employees in this company, can't I know the location of everyone's office?","كاين لميأت ديال ناسّ خدّامين ف هاد شاريكا, واش مومكين نعرف فين جا ل بورو ديال كولا واحد?",يوجد عدة مئات من الموظفين في هذه الشركة، ألا يمكنني معرفة موقع مكتب كل شخص؟,TRUE,"كاين لميأت ديال ناسّ خدّامين ف هاد شاريكا, واش مومكين نعرف فين جا ل بيرو ديال كولا واحد?",
1382,I appreciate that,كانقدّر هادشي,أنا أقدر ذلك,TRUE,,
1383,"Anyway, I always take the elevator.","لموهيم, أنا ديما كانستعمل السانالسور",على أي حال، أنا دائمًا أستخدم المصعد.,TRUE,"لموهيم, أنا ديما كانستعمل السانسور",
1384,And by some miracle it never broke down with me in it again.,"أُ بحال شي موعجيزا, ماعمرو خسر أُ أنا فيه باقي",وبمعجزة ما، لم يعطل مرة أخرى وأنا بداخله.,TRUE,,
1385,Until now.,حتال دابا,حتى الآن.,TRUE,,
1386,But if you concentrated on getting a good maintenance contract with the lift engineers we would not be on this position,والاكين كون ركّزتي علا أنّاك دير كونترا ديال ل إسلاح مزيان معا المالين لاسّانسّور كون ڭاع ما وسلنا ل هاد لحالا هادي,ولكن لو ركزت على الحصول على عقد صيانة جيد مع مهندسي المصاعد لما كنا في هذا الموقف,TRUE,,
1387,"Yes, I know I've been renewing this contract for a long time.","أيه, عرفت شحال من عام وانا كانجدّد ف هاد ل كونترا",نعم، أعلم أنني كنت أجدد هذا العقد لفترة طويلة.,TRUE,,
1388,"But, you know, my schedule is absolutely full, I never have time to deal with these practical details.","والاكين, راك عارف, لوقت ديالي عامر, ماكايكونش عندي لوقت باش نقابل هاد تافاسّيل",ولكن، كما تعلم، جدول مواعيدي ممتلئ تمامًا، لا أجد وقتًا أبدًا للتعامل مع هذه التفاصيل العملية.,TRUE,,
1389,"Okay, we talk, we talk, but we're still stuck.","واخا, كانهضرو, كانهضرو, والاكين هاحنا مازال واحلين",حسنًا، نتحدث، نتحدث، لكننا ما زلنا عالقين.,TRUE,,
1390,I'm gonna push the backup button.,غادي نورّك علا ل بوطون ديال سوڤڭارد,سأضغط على زر النسخ الاحتياطي.,TRUE,,
1391,I pushed the emergency button half an hour ago,ورّكت علا ل بوطون ديال لورڭنس نسّ ساعا هادي,لقد ضغطت على زر الطوارئ منذ نصف ساعة,TRUE,ورّكت علا ل بوطون ديال لورجنس نص ساعا هادي,
1392,Nothing is happening,تاحاجا ما واقعا,لا يحدث شيء,TRUE,,
1393,Are you picking up the network with your phone?,واش عندك رسو ف تيليفونك?,هل تلتقط الشبكة بواسطة هاتفك؟,TRUE,,
1394,I've also tried my phone but that is not connecting,جرّبت ب تيليفوني ساعا تاهووا مافيهش رسو,لقد حاولت أيضًا باستخدام هاتفي ولكنه لا يتصل,TRUE,,
1395,Neither is mine.,والا ديالي تاهووا,ولا الخاص بي.,TRUE,,
1396,"Well, we need to figure this out.","إوا, خاسنا نلقاو شي حل",حسنًا، يجب علينا أن نحل هذا.,TRUE,,
1397,"Do you know how to scream very loud, or sing very loud?","واش كاتعرف كيفاش تغووت بجّهد, ولا تغنّي بجّهد",هل تعرف كيف تصرخ بصوت عالٍ جداً، أو تغني بصوت عالٍ جداً؟,TRUE,,
1398,I am getting fed up now,تلعات ليا لقردا دابا,أنا بدأت أشعر بالضيق الآن,TRUE,,
1399,"Yeah, me too, to be honest.","وايه, تانا, أسّاراحا",نعم، أنا أيضًا، لأكون صادقًا.,TRUE,,
1400,"If we have to stay here much longer, you can work.","إلا كان خاسنا نبقاو هنا كتر, يمكن ليك تخدم",إذا اضطررنا للبقاء هنا لفترة أطول، يمكنك العمل.,TRUE,,
1401,"I only have my book, and I'm almost done.","عندي غي كتابي, أُ قرّبت نساليه",لدي فقط كتابي، وأنا تقريبًا انتهيت.,TRUE,,
1402,Well I can tell you for nothing I am not going to work in here,لموهيم نقدر نڭوليك أنّاهو مايمكنش نخدم هنا واخا ماعارفت أش,حسنًا، يمكنني أن أخبرك مجانًا أنني لن أعمل هنا,TRUE,,
1403,"He would have yelled at me, with no respect for his boss.","كان غادي يغووت عليا, بلا حتا حتيرام ل مودير ديالو",لكان قد صرخ في وجهي دون احترام لمديره.,TRUE,,
1404,I'm very tempted to yell too,تانا تشهيت نغووت,أنا مغرم جدًا بالصراخ أيضًا,TRUE,,
1405,Maybe I will and someone might hear us and come to the rescue,واقيلا نديرها أُ شي واحد أيسمعنا أُ يجي يعتقنا,ربما سأفعل وقد يسمعنا أحدهم ويأتي للإنقاذ,TRUE,,
1406,"Yes, go ahead, we can try!","أيه, سير علّاه, نجربو!",نعم، تقدم، يمكننا أن نحاول!,TRUE,,
1407,"Aaaaaaah,",ااااه,آآآآآآه،,TRUE,,
1408,"You're shaking, are you okay?","كاترعّد, ياك شي باسّ ماكاين?",أنت ترتجف، هل أنت بخير؟,TRUE,,
1409,Really?,بسّاح?,حقًا؟,TRUE,,
1410,"I'm pretty stressed, too, you know that a plane went down just yesterday in Texas?","تانا مسترسّي, فراسك واحد تييارا تاحت لبارح ف طشاس?",أنا متوتر جدًا أيضًا، هل تعلم أن طائرة تحطمت بالأمس فقط في تكساس؟,TRUE,"تانا مسترسّي, فراسك واحد تييارا تاحت لبارح ف تكساس?",
1411,So we're in the same situation.,إدان حنا ف نفس لحالا,إذًا نحن في نفس الموقف.,TRUE,,
1412,My doctor has given me some pills to calm me down but they don't seem to be working.,طبيب ديالي عتاني شي فانيد باش يكالميني ساعا بان ليا ما خدّامش,أعطاني الطبيب بعض الحبوب لتهدئتي لكن يبدو أنها لا تعمل.,TRUE,,
1413,"Look, my hands are shaking, too.",شوف يدييا كايترعدو تانا,انظر، يدي ترتجفان أيضًا.,TRUE,,
1414,Good idea!,فيكرا مزيانا!,فكرة جيدة!,TRUE,,
1415,Are you travelling for work or a holiday?,مسافر علا ود لخدما ولا عوتلا?,هل أنت مسافر بغرض العمل أم العطلة؟,TRUE,,
1416,I'm visiting a friend.,غادي نزور واحد الساديقا,أنا زائر صديق.,TRUE,غادي نزور واحد الصاديق,
1417,I hope she's there to collect me when I arrive.,علّاه تكون كاتسناني فاش نوسل.,أتمنى أن تكون هناك لتستقبلني عند وصولي.,TRUE,,
1418,"Oh, no.",هالعار تلّاه,يا لا.,TRUE,,
1419,"Your friend will probably be here, why?","صاديقا ديالك أتكون هنا فلغاليب, علاش?",من المحتمل أن يكون صديقك هنا، لماذا؟,TRUE,"صاديق ديالك أيكون هنا فلغاليب, علاش?",
1420,"Unless she has a car accident, of course.","ماعادا إلا دارت شي كسيدا ب توموبيل, بتابيعت لحال",ما لم تتعرض لحادث سيارة، بالطبع.,TRUE,,
1421,"Well I hope not, otherwise I don't know what I'll do!","كانتمنا مايتراش هادشي, وا إلّا ماغاديش نعرف أش أندير",آمل ذلك لا، وإلا فلا أعرف ماذا سأفعل!,TRUE,,
1422,I'll be all alone in a strange country.,أنكون بوحدي ف بلاد ماكانعرف فيها تاواحد,سأكون وحيدًا في بلد غريب.,TRUE,,
1423,And I don't speak the language.,أُ ماكانهدرش ألّوغا,وأنا لا أتحدث اللغة.,TRUE,,
1424,Thank you!,شوكران,شكراً!,TRUE,,
1425,Never mind.,ماشي موشكيل,لا يهم.,TRUE,,
1426,I'm scared.,أنا مخلوع,أنا خائف.,TRUE,,
1427,I don't know.,ماعرفتش,لا أعرف.,TRUE,,
1428,You look like you know the outdoors better than me.,بان ليا راك عارف لخارج حسن منّي,يبدو أنك تعرف الهواء الطلق أفضل مني.,TRUE,بان ليا راك عارف برّا حسن منّي,
1429,I've already cut my knee on a twig and grazed my head too.,جرحت ركبتي ب واحد لعرش أُ قمشت راسّي تاهووا,لقد قطعت ركبتي بغصن وخدشت رأسي أيضًا.,TRUE,,
1430,That's sad!,هادشي موحزين,ذلك محزن!,TRUE,هادشي كيبكِّي,
1431,But don't worry!,ماتهزش لهم,ولكن لا تقلق!,TRUE,,
1432,The medicinal herbs will allow you to heal and get back on your feet!,لعسهوب غادي يعاونوك باش تبرا أُ تعاود توڭوف علا رجليك,ستمكنك الأعشاب الطبية من الشفاء والعودة إلى نشاطك!,TRUE,لعشوب غادي يعاونوك باش تبرا أُ تعاود توڭوف علا رجليك,
1433,We're going to get these herbs and try to make it an ointment.,أنمشيو نجيبو هاد لعسهوب أُ نحاولو نسايبو بيهوم دوا,سنحصل على هذه الأعشاب ونحاول صنع مرهم منها.,TRUE,أنمشيو نجيبو هاد لعشوب أُ نحاولو نسايبو بيهوم دوا,
1434,No.,لا,لا.,TRUE,,
1435,Or make a cry for help with a big fire.,ولا يمكن لينا نطلبو لموسّاعادا ب شي عافيا كبيرا,أو اطلق صرخة للمساعدة بنار كبيرة.,TRUE,,
1436,You're full of ideas today!,عندك بزّاف ديال ل أفكار ليوما!,أنت مليء بالأفكار اليوم!,TRUE,,
1437,But you do seem a bit unrealistic.,والاكين بنتي ليا شويا ماشي واقيعي,لكن يبدو أنك غير واقعي بعض الشيء.,TRUE,,
1438,"But, yes, fire can serve us.","والاكين, أيه, لعافيا تقدر تنفعنا",ولكن، نعم، النار يمكن أن تخدمنا.,TRUE,,
1439,Do you have any other ideas that come to mind?,واش عندك شي أفكار خرين جاوك ف راسك?,هل لديك أي أفكار أخرى تخطر ببالك؟,TRUE,,
1440,We could just sit here and wait for somebody to find us.,نقدرو نڭولسو هنا أُ نتسناو شي واحد يلقانا,يمكننا أن نجلس هنا وننتظر شخصًا ما ليجدنا.,TRUE,,
1441,I'm tired.,عييت,أنا متعب.,TRUE,,
1442,I could watch you make a fire!,نقدر نتفرج فيك كاتشعل لعافيا,يمكنني أن أشاهدك وأنت تشعل نارًا!,TRUE,,
1443,Now that's a good idea!,دابا هادي فيكرا مزيانا,هذه فكرة جيدة الآن!,TRUE,,
1444,Why bother?,علاش لعاداب?,لماذا تكلف نفسك؟,TRUE,,
1445,"I'm never going to pass, so I might as well give up now.","ماعمرني غادي نجح, حسن ليا ندير بناقص من دابا",لن أنجح أبدًا، لذا قد يكون من الأفضل أن أستسلم الآن.,TRUE,,
1446,You have all the ability to succeed.,كولكوم عندكوم لقودرا باش تنجحو,لديك كل القدرة على النجاح.,TRUE,,
1447,Don't be discouraged.,ماتفقدش ل أمال,لا تشعر بالإحباط.,TRUE,,
1448,How do you know that?,باش عرفتي هادشي?,كيف علمت بذلك؟,TRUE,,
1449,You're not in my head!,نتا ما داخلش ليا ل راسّي,أنت لست في رأسي!,TRUE,,
1450,Your copies and your questions show that you're brilliant.,لوراق ديالك أُ ل أسإلا ديالك كايبيينو أنّاك دكي,إن نسخك وأسئلتك تُظهر أنك ذكي.,TRUE,,
1451,I bet you say that to everybody.,فلغاليب كاتڭول هادشي ل كولشي,أراهن أنك تقول ذلك للجميع.,TRUE,,
1452,"I'm rubbish at maths, rubbish at science.","أنا زرڭ فلماته, زرڭ ف صيونص",أنا سيء في الرياضيات، سيء في العلوم.,TRUE,,
1453,And I just glued my hand to the desk in Art.,أُ يالّاه لسّق يدي ف تبلا فلحيسّا ديال تافاتّوح لفانّي,وقد لصقت يدي بالمكتب في الفن.,TRUE,,
1454,There's an internship next week.,كاين واحد ستاڭ أسّيمانا أجّايا,هناك تدريب تعاوني في الأسبوع القادم.,TRUE,كاين واحد فورماتيو أسّيمانا أجّايا,
1455,He might make you feel better.,يمكن يفووج عليك,قد يجعلك تشعر بتحسن.,TRUE,,
1456,You can ask all the questions that will be left after your studying this weekend.,يمكن ليك تسوول ڭاع ل أسإلا لي بقاو مورا ماتقرا هاد ل ويكند,يمكنك طرح جميع الأسئلة التي ستتبقى بعد دراستك في نهاية هذا الأسبوع.,TRUE,,
1457,What do you mean?,أش كاتقصض?,ماذا تقصد؟,TRUE,,
1458,Who am I going to ask?,شكون غادي نسوول?,من سأسأل؟,TRUE,,
1459,I don't even think I'll have any questions 'cause I understand so little.,موحال حتا واش أيكون عندي شي سوأل حيت كانفهم غير شويا,أنا لا أعتقد حتى أنني سأكون لدي أي أسئلة لأنني أفهم القليل جدًا.,TRUE,,
1460,All the teachers will be available.,ڭاع ل أساتيدا غادي يكونو موجودين,جميع المعلمين سيكونون متاحين.,TRUE,,
1461,Start with simple questions.,بدا بل أسإلا لباصيتا,ابدأ بأسئلة بسيطة.,TRUE,,
1462,Why me?,علاش أنا?,لماذا أنا؟,TRUE,,
1463,Like that?,بحال هاكّا?,هكذا؟,TRUE,,
1464,"On top of that, there will be cake in this review internship.","أُ فوڭ هادشي, غادي تكون لحلوا ف هاد ستاڭ",إلى جانب ذلك، سيكون هناك كعكة في هذا التدريب التقييمي.,TRUE,"أُ فوڭ هادشي, غادي تكون لحلوا ف هاد ستاج",
1465,"As a consolation, right?",باش نبردو علا راسنا ياك?,كتعزية، أليس كذلك؟,TRUE,,
1466,"And, seriously, do you ever really use anything you learnt in class?","أُ, بلمعقول, واش عمرك بسّاح خدّمتي شي حاجا قريتيها فل قيسم?",وبجدية، هل تستخدم أي شيء تعلمته في الصف فعلاً؟,TRUE,,
1467,Are you sure about that?,واش نتا متءكّد?,هل أنت متأكد من ذلك؟,TRUE,,
1468,On what part of the program do you think you're lost?,ف إنا بلاسّا فل موقرّار كايبان ليك راسك موضّر?,على أي جزء من البرنامج تعتقد أنك تائه؟,TRUE,,
1469,Where do I start?,منين نبدا?,من أين أبدأ؟,TRUE,,
1470,"It's a bit embarrassing, but I've never been any good at my times tables...","حشمت شويا, والاكين ماعمرني كنت كانعرف مزيان ل جاداويل ضارب",إنه أمر محرج بعض الشيء، لكنني لم أكن جيدًا أبدًا في جدول الضرب...,TRUE,,
1471,The multiplication tables?,جاداويل الضارب?,جداول الضرب؟,TRUE,,
1472,"Yeah, I know it's stupid.","أيه, عرفت فشكل هاد لقاديا",نعم، أعلم أنها غبية.,TRUE,,
1473,But my teacher back in school used to spend all her time knitting in class and would never explain anything properly.,والاكين ل أُستادا ديالي ديك لوقت كانت كادووّز لوقتا ديالها كامل كاتخييّت فلقيسم أُ ماعمرها شرحات لينا شي حاجا,لكن معلمتي في المدرسة كانت تقضي كل وقتها في الحياكة داخل الصف ولم تكن تشرح أي شيء بشكل صحيح.,TRUE,,
1474,"And now, years later, look where I am!","أُ دابا, شحال من عام من بعد, شوف فين أنا!",والآن، بعد سنوات، انظر أين أصبحت!,TRUE,,
1475,So we'll take a little time every day of the next week to review tables.,إدان غادي ناخدو شويا ديال لوقت كولّا نهار السيمانا أجّايّا باش نراجعو جاداويل دارب,لذا سنخصص بعض الوقت كل يوم من الأسبوع القادم لمراجعة الجداول.,TRUE,,
1476,What other parts of the program seem to be difficult?,أشمن حوايج خرين فل موقرّار كايجيوك صعاب?,ما هي الأجزاء الأخرى من البرنامج التي تبدو صعبة؟,TRUE,,
1477,You would do that for me?,تبغي دير هادشي معايا?,هل ستفعل ذلك من أجلي؟,TRUE,غادي دير هادشي على ودي?,
1478,"Wow, you're the first teacher who's ever done anything nice for me!","ووو, نتا أوّال أُستاد لي كايدير معايا شي حاجا مزيانا!",واو، أنت أول معلم قام بعمل شيء لطيف من أجلي!,TRUE,,
1479,I do struggle with French too...,عندي موشكيل معا لفرونسي تاهيا!,أنا أجد صعوبة في الفرنسية أيضًا...,TRUE,,
1480,I just can't get the grammar.,ماعمر باتفهم ليا ديك لڭرامّير,أنا ببساطة لا أستطيع فهم القواعد.,TRUE,,
1481,My teacher keeps telling me that I sound like I'm translating word by word.,لوستاد ديالي ديما كايڭوليا أنّاني كانهدر بحالا كانترجم كلما ب كلما,معلمي يستمر في إخباري بأنني أبدو وكأنني أترجم كلمة بكلمة.,TRUE,,
1482,Which is sort of true...,أُ هادشي كاين ساراحا...,الذي هو نوعاً ما صحيح...,TRUE,,
1483,Maybe you can use a computer translator to help you?,جرّبتي تستعمل شي پروڭرام ديال ترجاما فل پيسّي باش يعاون?,ربما يمكنك استخدام مترجم كمبيوتر لمساعدتك؟,TRUE,,
1484,There's some more advanced software in the field.,كاينين شي پروڭرامات مجهدين ف هاد ضومين,هناك برمجيات أكثر تقدمًا في المجال.,TRUE,,
1485,Isn't that cheating?,واش ماشي غش هادا?,أليس ذلك غشًا؟,TRUE,,
1486,They might notice if I bring my laptop to the exam.,راه غادي يعيقو بيا إلا جبت معايا ل پيسّي اللمتيحان,قد يلاحظون إذا أحضرت حاسوبي المحمول إلى الامتحان.,TRUE,,
1487,And you?,أُ نتا?,وأنت؟,TRUE,,
1488,What brings you here?,أشنو اللي جابك هنا?,ما الذي أتى بك إلى هنا؟,TRUE,,
1489,"Hello, yes it's a lovely day.","صالام, أيه ليوما لجوو زوين",مرحباً، نعم إنه يوم جميل.,TRUE,,
