Darija,English,MSA
هاد قصص النجاح قللات من مخاوف التغيير، بينما خلقت ميول إيجابية للتغيير في المستقبل.,"Such success stories lessened the fears of change, while creating positive inclinations toward change in the future.",مثل هذه القصص الناجحة خففت من مخاوف التغيير ، مع خلق ميول إيجابية نحو التغيير في المستقبل.
كيوقع الشد السطحي لان ذرات المياه كترتبط ببعضها بقوة اكثر من ذرات الهواء اللي فوقها.,Surface tension happens because the water molecules at the surface of the water are strongly attracted to each other more than they are to the air molecules above them.,يحدث التوتر السطحي لأن جزيئات الماء على سطح الماء تنجذب بقوة إلى بعضها البعض أكثر مما هي إلى جزيئات الهواء فوقها.
الجراحين عرفو بزاف دالمهدئات بما في ذلك المورفين من مستخلصات بذور الخشخاش والسكوبولامين من بذور الأعشاب.,Surgeons had knowledge of various sedatives including morphine from extracts of poppy seeds and scopolamine from herbane seeds.,كان لدى الجراحين معرفة بمختلف المهدئات بما في ذلك المورفين من مستخلصات بذور الخشخاش والسكوبولامين من بذور العشب.
شوف الرحلات التي كيروج لها الوكيل، سواء فالموقع ويب ولا فالمحل.,"Take a look at what trips the agent is promoting, whether on a website or in a shop window.",قم بإلقاء نظرة على الرحلات التي يروج لها الوكيل ، سواء كان على موقع الويب أو في نافذة المتجر.
مكتستخدمش العائلات في شارلوت سيارات الأجرة بشكل عام، واخا تقد تكون نافعة فشي ظروف معينة.,"Taxis are not generally used by families in Charlotte, though they can be of some use in certain circumstances.",لا تستخدم سيارات الأجرة بشكل عام من قبل العائلات في شارلوت، على الرغم من أنها يمكن أن تكون ذات فائدة في ظروف معينة.
من بعد عشر سنين، قاد السوفيات واحد الطرف من المهمة ديال أبولو سويز و لي كيعني أن السباق ديال الفضاء سالا.,"Ten years later, he led the Soviet part of the Apollo–Soyuz mission symbolizing that the Space Race was over.",بعد عشر سنوات، قاد الجزء السوفييتي من مهمة أبولو-سويوز التي ترمز إلى أن سباق الفضاء قد انتهى.
الكرّايا فلوكوود غاردنز كيسحاب ليهم بلي ربما كاين 40 عائلة اخرا و لاّ كثر لي غادي تخليهم يواجهو الإفراغ، حيتاش عرفو بلي البوليس ديال OHA كيحقق حتا فممتكات السكن ديال الدولة فأوكلاند لي يقدر يكون داها شي حد بالاحيال.,"Tenants at Lockwood Gardens believe that there may be another 40 families or more to face eviction, since they learned that OHA police are also investigating other public housing properties in Oakland that may be caught up in the housing scam.",يعتقد المستأجرون في لوكوود جاردنز أنه قد يكون هناك 40 عائلة أخرى أو أكثر يواجهون الإخلاء ، لأنهم علموا أن شرطة OHA تقوم أيضًا بالتحقيق في ممتلكات الإسكان العام الأخرى في أوكلاند التي قد تتورط في احتيال الإسكان.
بفضل روابط كبلات الألياف الضوئية اللي مدفونة فأوروبا والأقمار الصناعية اللي عندها النطاق عريض، جرينلاند متصلة جيدًا 93 ٪ من السكان عندهم إمكانية الوصول للأنترنيت.,"Thanks to undersea fiber optic cable links to Europe and broadband satellite, Greenland is well connected with 93% of the population having internet access.",بفضل وصلات كابل الألياف البصرية تحت البحر إلى أوروبا والأقمار الصناعية ذات النطاق العريض ، فإن غرينلاند متصلة بشكل جيد مع 93% من السكان الذين لديهم إمكانية الوصول إلى الإنترنت.
"قال الباحث ف ريفت فالي ريسورش سيرفايس فإيثوبيا و المؤلف المشارك فالدراسة ديال بيرهان أسفاو بلي خاص ""كلشي يرجع لبلاصتو"" .","That means everything has to be put back,"" said researcher at the Rift Valley Research Service in Ethiopia and a co-author of the study, Berhane Asfaw.","""هذا يعني أنه يجب إعادة كل شيء ، """"قال الباحث في خدمة أبحاث Rift Valley في إثيوبيا والمؤلف المشارك للدراسة ، Berhane Asfaw."""
هذا كيعني أننا قادرين على أننا نتنبئو بداكشي اللي عارفينو الناس لوخرين أو كيقصدوه أو كيآمنو به أو كيعرفوه أو باغيينو.,"That means we are able to successfully predict what other humans perceive, intend, believe, know or desire.",وهذا يعني أننا قادرون على التنبؤ بنجاح بما يدركه البشر الآخرون أو يعتزمون أو يؤمنون أو يعرفون أو يرغبون به.
بعد هادشي اللي تقال، توقع أن تفك راسك، وكون علا بال في الأجزاء اللي منحدرة بزاف، خصوصا فاش تكون فازگ، حيث يمكن تولي خطيرة بزربة.,"That said, expect to be out of breath, and take care in the steeper portions, especially when wet, as it can become dangerous quickly.",ومع ذلك ، اتوقع أن تكون خارج التنفس ، واحترس في الأجزاء المنحدرة ، خاصة عندما تكون رطبة ، حيث يمكن أن تصبح خطرة بسرعة.
"ال ""زيارة"" النموذجية كتضمن السفر إلى مطار أورلاندو الدولي ، والانتقال بالطوبيس/الحافلة لْ أحد لوطيلات ديال ديزني فالموقع ،أو تدواز/قضاء حوالي سيمانة بلا مغادرة أراضي ديزني ، والرجوع ل الدار.","The ""typical"" visit involves flying into Orlando International Airport, busing to an on-site Disney hotel, spending about a week without leaving Disney property, and returning home.","تتضمن الزيارة ""العادية"" الطيران إلى مطار أورلاندو الدولي ، والحافلة إلى فندق ديزني في الموقع ، وقضاء حوالي أسبوع دون مغادرة ممتلكات ديزني ، والعودة إلى المنزل."
الطول دالبابور هو 100 متر في طريقو باش يجمع شحنات السماد و فالاول خافو المسئولين ان البابور يطيح الحمولة.,The 100-metre ship was en route to pick up its usual fertiliser cargo and initially officials feared the vessel could spill a load.,وكانت السفينة التي يبلغ طولها 100 متر في طريقها لاستلام شحنة الأسمدة المعتادة ، وخشى المسؤولون في البداية من أن السفينة قد تسرب حمولة.
الزوج اللي عندو 30 عام تزاد فبافالو هو واحد من اربعة اللي قتلو في اطلاق النار، لكن الزوجة متقاستش.,"The 30-year-old husband, who was born in Buffalo, was one of the four killed in the shooting, but his wife was not hurt.",كان الزوج البالغ من العمر 30 عامًا ، المولود في بافالو ، واحدًا من الأربعة الذين قتلوا في إطلاق النار ، لكن زوجته لم تتأذى.
لقات ACMA بلي واخا تلاح الفيديو فلانترنت، بيغ برادر( Big Brother) منتهكش القوانين ديال الرقابة على المحتوى فلانترنت حيتان مخزنوش الوسائط فالموقع ديال بيغ برادر.,"The ACMA also found that despite the video being streamed on the Internet, Big Brother had not breached online content censorship laws as the media had not been stored on Big Brother's website.",ووجدت ACMA أيضًا أنه على الرغم من بث الفيديو على الإنترنت ، إلا أن Big Brother لم ينتهك قوانين الرقابة على المحتوى عبر الإنترنت ، حيث لم يتم تخزين وسائل الإعلام على موقع Big Brother.
اعتمدت الخطة الأمريكية على شن هجمات منسقة من ثلاثة اتجاهات مختلفة.,The American plan relied on launching coordinated attacks from three different directions.,اعتمدت الخطة الأمريكية على إطلاق هجمات منسقة من ثلاثة اتجاهات مختلفة.
خاصك تدوز من أنكور باش تدخ للمعبد، داكشي باش مخصكش تنسا تجيب معاك لباسبور ديالك فاش تكون غادي ل Tonle Sap.,The Angkor Pass is needed to enter the temple so do not forget to bring your passport along when heading to Tonle Sap.,من الضروري عبور ممر أنغكور للدخول إلى المعبد ، لذا لا تنسى إحضار جواز سفرك معك عند التوجه إلى تونلي ساب.
البرازيلي تضرب واحد الضربه خطيرة بعدما دار كسيدا فالسباق العالمي ديال الطوموبيلات,The Brazilian suffered a serious head injury after a crash during the 2009 Hungarian Grand Prix.,عانى البرازيلي من إصابة خطيرة في الرأس بعد تحطم أثناء جائزة المجر الكبرى لعام 2009.
القانون ديال خدمات البث كينص على التنظيم ديال المحتوى فلانترنت، واخا هاكاك باش يكون بصّح محتوى ديال لانترنت خاصو يكون خدام على السيرفور,"The Broadcasting Services Act provides for the regulation of Internet content, however to be considered Internet content, it must physically reside on a server.",ينص قانون خدمات البث على تنظيم محتوى الإنترنت ، ومع ذلك ، لتعتبر محتوى الإنترنت ، يجب أن يكون موجودًا جسديًا على خادم.
منطقة القناة (بالهولندية: Grachtengordel) هي المنطقة اللي معروفة بزاف واللي كترجع للقرن السبعطاشر والتي دايرة بـ Binnenstad of Amsterdam.,The Canal District (Dutch: Grachtengordel) is the famous 17th-century district surrounding the Binnenstad of Amsterdam.,منطقة القناة (بالهولندية: Grachtengordel) هي المنطقة الشهيرة من القرن السابع عشر المحيطة بـ Binnenstad في أمستردام.
وقد طالب المستعمرون ، الي شافو هذا النشاط ، بتعزيزات.,"The Colonists, seeing this activity, had also called for reinforcements.",المستعمرون، عندما رأوا هذا النشاط، طلبوا أيضاً تعزيزات.
جزر كوك هي دولة من جزر متابطين بشكل حر مع نيوزيلندا، وكاينة في بولينيزيا، في وسط جنوب المحيط الهادئ.,"The Cook Islands are an island country in free association with New Zealand, located in Polynesia, in the middle of the South Pacific Ocean.",جزر كوك هي دولة جزيرة في رابطة حرة مع نيوزيلندا ، تقع في بولينيزيا ، في وسط جنوب المحيط الهادئ.
مكاينش في جزر كوك حتا شي مدن ولكنها كتتكون من 15 جزيرة مختلفة. أهمها راروتونجا وإيتوتاكي.,The Cook Islands do not have any cities but are composed of 15 different islands. The main ones are Rarotonga and Aitutaki.,لا تحتوي جزر كوك على أي مدن ، ولكنها تتكون من 15 جزيرة مختلفة ، وأهمها Rarotonga و Aitutaki.
جمهورية دومينيكا هي دولة كارييبية اللي شادة النص الشرقي نتاع جزيرة هيسبانيولية، اللي كاتشاركها مع هايتي.,"The Dominican Republic (Spanish: República Dominicana) is a Caribbean country that occupies the eastern half of the island of Hispaniola, which it shares with Haiti",جمهورية الدومينيكان (بالإسبانية: República Dominicana) هي دولة كاريبية تحتل النصف الشرقي من جزيرة هيسبانيولا ، والتي تتشاركها مع هايتي.
دروكغيال دزونغ هي واحد لحصن ومعبد بوذي مرون فالمنطقة العالية نتاع بارو ديستريكت (فمدينة فونيدي).,The Drukgyal Dzong is a ruined fortress and Buddhist monastery in the upper part of the Paro District (in Phondey Village).,دروكجيال دونغ هو قلعة مدمرة ودير بوذي في الجزء العلوي من مقاطعة بارو (في قرية فوندي).
شركة غو رانين تورز اللي خلفات شركة غلوبال رانين تورز دارت عشرات الناس اللي تيديرو سايترانين فربعة نتاع لقارات.,"The Global Running Tours successor, Go Running Tours networks dozens of sightrunning providers on four continents.",خليفة Global Running Tours ، Go Running Tours الشبكات العشرات من مقدمي sighttrunning في أربع قارات.
المؤرخ اليوناني سترابو كتب السمية اللي تنعرفوها بيه اليوم. تهدم المعبد فنفس الليلة اللي تزاد فيها إليكسندر الأكبر.,"The Greek historian Strabo later noted the name, which is how we know today. The temple was destroyed on the same night that Alexander the Great was born.",في وقت لاحق ، لاحظ المؤرخ اليوناني سترابون الاسم ، وهو ما نعرفه اليوم: تم تدمير المعبد في نفس الليلة التي ولد فيها الإسكندر العظيم.
بين وزير الصحة لقلق ديالو من الناس اللي تيستعملو ديك المواد بشكل قانوني مؤقتا، وحتى الإدانات اللي عندها علاقة بالمخدرات واللي جات من لوقيتة اللي تطبقات فيها التغييرات اللي معندهاش علاقة بالدستور.,"The Health Minister expressed concern both for the welfare of individuals taking advantage of the temporary legality of the substances involved, and for drug-related convictions handed down since the now-unconstitutional changes came into effect.",وأعرب وزير الصحة عن قلقه على حد سواء من رفاهية الأفراد الذين يستغلون الشرعية المؤقتة للمواد المعنية ، وعن الإدانات المتعلقة بالمخدرات التي صدرت منذ دخول التغييرات غير الدستورية حيز التنفيذ.
مقالش مكتب الأرصاد الجوية الإيرلاندي أنه كاين شي نشاط دزلزال فمنطقة هيلكا ف 48 ساعة اللي دازت.,The Icelandic Meteorological Office also reported no earthquake activity in the Hekla area in the past 48 hours.,كما أبلغ مكتب الأرصاد الجوية الأيسلندي عن عدم وجود أي نشاط زلزالي في منطقة هيكلا خلال الساعات الـ 48 الماضية.
كانت الطيارة Il-76 هي اللي سائدة فالعسر نتاع روسا والاتحاد السوفياتي من سنوات 1970 واخا هكاك دارت كسيدة خايبة فروسيا السيمانة اللي فاتت.,"The Il-76 has been a major component of both the Russian and Soviet military since the 1970s, and had already seen a serious accident in Russia last month.",كانت إيل-76 مكونًا رئيسيًا لكل من الجيش الروسي والسوفييتي منذ السبعينيات ، وكانت قد شهدت بالفعل حادثًا خطيرًا في روسيا في الشهر الماضي.
كانت حضارة واد السند حضارة برونزية فالضمال الغربي نتاع شبه القارة الهندية وكتجمع باكستان وشي بلايص فشمال غرب الهند وشمال شرق أفغانستان.,The Indus Valley Civilization was a Bronze Age civilisation in the northwest Indian subcontinent encompassing most of modern-day Pakistan and some regions in northwest India and northeast Afghanistan.,كانت حضارة وادي السند حضارة من العصر البرونزي في شبه القارة الهندية الشمالية الغربية ، والتي شملت معظم باكستان الحديثة وبعض المناطق في شمال غرب الهند وشمال شرق أفغانستان.
صوتات اللجنة العالمية للألعاب الأولمبية باش يدخلو الرياضات فالاجتماع التنفيذي اللي تدار فبرلين اليوم. تختار الريعبي والغولف على خمسة دالرياضات أخرين باش يقدرو يشاركو فالألعاب الأولمبية.,"The International Olympic Committee voted to include the sports at its executive board meeting in Berlin today. Rugby, specifically rugby union, and golf were selected over five other sports to be considered to participate in the Olympics.",وصوتت اللجنة الأولمبية الدولية لإدراج الرياضات في اجتماع مجلس إدارتها التنفيذي في برلين اليوم ، تم اختيار الرجبي ، وتحديدا اتحاد الرجبي ، والغولف على خمسة رياضات أخرى ليتم النظر في مشاركتها في الألعاب الأولمبية.
كتوكد الحكومة الإيرلاندية على استعجالية التشريع البرلماني باش يصحح الوضعية.,The Irish government is stressing the urgency of parliamentary legislation to rectify the situation.,تؤكد الحكومة الأيرلندية على الحاجة الملحة إلى تشريع برلماني لتصحيح الوضع.
تزادحات االطيارة جاس 39C غريبن مع واحد الطريق وتفركعات مع 9:30 دصباح فالتوقيت المحلي (0230 UTC) وتسد المطار على الطيارات الاقتصادية.,"The JAS 39C Gripen crashed onto a runway at around 9:30 am local time (0230 UTC) and exploded, closing the airport to commercial flights.",تحطمت طائرة JAS 39C Gripen على مدرج في حوالي الساعة 9:30 صباحًا بالتوقيت المحلي (02:30 UTC) وانفجرت ، مما أدى إلى إغلاق المطار للرحلات التجارية.
كانت لونو هازة 120–160 متر مكعب نتاع لفيول فاش تهرسات ودفعها الريح ولمواج للحاجز دلمواج.,The Luno had 120–160 cubic metres of fuel aboard when it broke down and high winds and waves pushed it into the breakwater.,"كان لدى ""لونو"" 120-160 مترًا مكعبًا من الوقود على متنها عندما تحطمت ، ودفعتها الرياح العاتية والأمواج إلى كسر المياه."
كانو لمابوتشي سكان أمريكيين أصليين مستقلين اللي تمصو وسط لحكم نتاع اللي تيهضرو سبنيولية من بعد لاستقلال نتاع الشيلي.,"The Mapuche were also one of the last independent American indigenous groups, that were not fully absorbed into Spanish-speaking rule until after Chile's independence.",كان المابوتشي أيضًا واحدة من آخر مجموعات السكان الأصليين الأمريكيين المستقلين ، والتي لم يتم استيعابها بالكامل في الحكم الناطق بالإسبانية حتى بعد استقلال تشيلي.
جاو لمهاجمين نتاع مومباي ف 26 موفمبر 2008 وجابو معاهم قنابل وسلاح أوطوماتيك وضربو بلاص بزاف منهم لمحطة دتران شهاتراباتس شيفاجي اللي كتكون عامرة وأوطيل تاج محل المشهور.,"The Mumbai attackers arrived via boat on Novemeber 26, 2008, bringing with them grenades, automatic weapons and hit multiple targets including the crowded Chhatrapati Shivaji Terminus railway station and the famous Taj Mahal Hotel.",وصل المهاجمون إلى مومباي عن طريق القارب في 26 نوفمبر 2008 ، وجلبوا معهم قنابل يدوية وأسلحة أوتوماتيكية ، وضربوا أهدافًا متعددة ، بما في ذلك محطة سكة حديد Chhatrapati Shivaji Terminus المزدحمة وفندق تاج محل الشهير.
جا لقرار نتاع جمعية كرة السلة الأمريكية من بعد مابان واحد اللاععب ف أوتاه جاز بوزيتيف ب كوفيد-19.,The NBA's decision followed a Utah Jazz player testing positive for the COVID-19 virus.,جاء قرار NBA بعد اختبار لاعب من فريق يوتا جاز إيجابيًا لفيروس COVID-19.
كان المجلس الوطني البرازيلي تيناقش التقنين لمدة 10 سنين، والزواج المدني قانوني دابا غير ف ريو غراندي دو سول.,"The National Congress of Brazil has debated legalization for 10 years, and such civil marriages are currently only legal in Rio Grande do Sul.",وقد ناقش الكونغرس الوطني البرازيلي التشريع لمدة عشر سنوات، ومثل هذه الزيجات المدنية في الوقت الحالي قانونية فقط في ريو غراندي دو سول.
تيحافض لجهاز العصبي على التوازن بأنه كيسيفط محفزات عصبية للصحة باش يخلي التدفق نتاع الدم خدام وميتقطعش.,The Nervous System maintains homeostasis by sending nerve impulses through out the body to keep the flow of blood going as well as undisturbed.,يحافظ الجهاز العصبي على التوازن عن طريق إرسال النبضات العصبية عبر الجسم للحفاظ على تدفق الدم دون إزعاج.
التقالة نتاع بلاك بيوتي معاوناتش لبوليس نتاع نيوزيلاندا باش يستعمل رادار دتحديد السرعة ويعرف شحال السرعة اللي كان غادي بيها السي ريد، ومرة وحدة اللي قدرو لبوليس يحسبو السرعة نتاع السي ريد هي فاش نزل السرعة ديالو ل 160 كيلومتر فالساعة.,"The New Zealand police had trouble using their speed radar guns to see how fast Mr Reid was going because of how low Black Beauty is, and the only time the police managed to clock Mr Reid was when he slowed down to 160km/h.",واجهت الشرطة النيوزيلندية صعوبة في استخدام أجهزة رادار السرعة الخاصة بها لمعرفة مدى سرعة السيد ريد بسبب مدى انخفاض سرعة بلاك بيوتي ، وكانت المرة الوحيدة التي تمكنت فيها الشرطة من رصد السيد ريد هي عندما تباطأ إلى 160 كيلومترًا في الساعة.
بنك نورثرن روك تأمم ف 2008 فاش بان بأنه شد معاونة مستعجلة من الحكومة دبريطانيا.,The Northern Rock bank had been nationalised in 2008 following the revelation that the company had received emergency support from the UK Government.,تم تأميم بنك نورثن روك في عام 2008 بعد الكشف عن أن الشركة تلقت دعمًا طارئًا من حكومة المملكة المتحدة.
برنامج PBS عندو كتر 24 إيمي أوارد، والمدة ديالو قل من سيسام و ميستر رودجر نيبورهود.,"The PBS show has more than two-dozen Emmy awards, and its run is shorter only than Sesame Street and Mister Rogers' Neighborhood.",حصل برنامج PBS على أكثر من عشرين جائزة إيمي ، وكان تشغيله أقصر فقط من شارع السمسم وجوار السيد روجرز.
بارك سيرفيس (MINAE) متيعطيش الرخص نتاع لبارك فكتر من شهر قبل لوصول لمتوقع.,The Park Service (MINAE) does not issue park permits more than one month in advance of anticipated arrival.,خدمة المتنزهات (MINAE) لا تصدر تصاريح المتنزهات أكثر من شهر واحد قبل الوصول المتوقع.
منطقة سيرينجيتي فيها لبارك لوطني نتاع سيرينجيتي ولمحمية نتاع نغورونغورو ومحمية ماسوا فطنزانيا ولمحمية لوطنية نتاع مساي مارا ف كينيا.,"The Serengeti region contains the Serengeti National Park, the Ngorongoro Conservation Area and Maswa Game Reserve in Tanzania and the Maasai Mara National Reserve in Kenya.",تحتوي منطقة سيرنغيتي على حديقة سيرنغيتي الوطنية ومنطقة حماية نغورونغورو ومحمية ماسوا للحياة في تنزانيا ومحمية ماساي مارا الوطنية في كينيا.
بعيد ساوث بول ترافرس (أولا لوطوغوط) ب 1600 كيلومتر على سطاسيون دماكموردو ف روس سي حتال بول.,The South Pole Traverse (or Highway) is a 1600 km trail from McMurdo Station on the Ross Sea to the Pole.,مسار القطب الجنوبي (أو الطريق السريع) هو مسار يبلغ طوله 1600 كيلومتر من محطة ماكموردو على بحر روس إلى القطب.
الشمس معندهاش شي قشرة اللي يقدر لواحد يوفق فوقها بحال الأرض. الشمس كلها غازات وعافية وبلازما.,"The Sun doesn't have a crust like the Earth that you can stand on. The whole Sun is made out of gases, fire, and plasma.",الشمس ليس لديها قشرة مثل الأرض التي يمكنك الوقوف عليها، الشمس بأكملها مصنوعة من الغازات والنار والبلازما.
التايلانديون غزاو كمبوديا بزاف د المرات فالقرن تمنطعش أو فْ عام ألف او سبعمية أو سبعة أو تنين أو سبعين/ 1772 دمروا بنوم فين/ Phnom Phen.,The Thais invaded Cambodia several times in the 18th century and in 1772 they destroyed Phnom Phen.,غزا التايلنديون كمبوديا عدة مرات في القرن الثامن عشر وفي عام 1772 دمروا بنوم فين.
كان Twin Otter كيحاول الهبوط في كوكودا/ Kokoda البارح فالرحلة CG رَبْعلاف أو سْتَمْية أو رَبعة أو تمانين/ CG4684 اللي تابعة لشركة الخطوط الجوية PNG ، ولكن تم الإجهاض ديال هاد المحاولة فْ مرة وحدة .,"The Twin Otter had been trying to land at Kokoda yesterday as Airlines PNG Flight CG4684, but had aborted once already.","""كانت الطائرة """"توين أوتر"""" تحاول الهبوط في كوكودا بالأمس باسم """"إيرلاينز بي إن جي""""، الرحلة رقم 4684، لكنها ألغيت مرة واحدة بالفعل."""
"كتقول الولايات المتحدة أنها توصلات بمعلومات من مصدر مابغاش يتَّعرَفْ كيهضر بالضبط على استخدام المفجرين الانتحاريين باش يفجرو ""المعالم البارزة"" فْ إتوبيا و كينيا.","The U.S. says it has received information from an undisclosed source that specifically mentions the use of suicide bombers to will blow up ""prominent landmarks"" in Ethiopia and Kenya.","""تقول الولايات المتحدة إنها تلقت معلومات من مصدر مجهول يذكر على وجه التحديد استخدام تفجيرات انتحارية لتفجير """"معالم بارزة"""" في إثيوبيا وكينيا."""
وقالت البحرية الأمريكية أنهم كانو تيحققوا فالحادث.,The US Navy also said they were investigating the incident.,وقالت البحرية الأمريكية أيضًا إنها تحقق في الحادث.
بينات خريطة الزلازل الدولية للمسح الجيولوجي فالولايات المتحدة أنه ما كانش زلازل في أيسلندا فالأسبوع اللي فات.,The United States Geological Survey international earthquake map showed no earthquakes in Iceland in the week prior.,لم تظهر خريطة الزلازل الدولية للمسح الجيولوجي للولايات المتحدة أي زلازل في أيسلندا في الأسبوع السابق.
"سفارة الولايات المتحدة الموجودة فْ نيروبي بكينيا حدْرات ""أن المتطرفين من الصومال"" كيخططو باش يديرو هجمات انتحارية في كينيا و إتوبيا.","The United States embassy located in Nairobi, Kenya has issued a warning that ""extremists from Somalia"" are planning to launch suicide bomb attacks in Kenya and Ethiopia.","أصدرت سفارة الولايات المتحدة في نيروبي، كينيا، تحذيرًا من أن ""متطرفين من الصومال"" يخططون لشن هجمات انتحارية في كينيا وإثيوبيا."
كانت حرب الخلافة الإسبانية هي الحرب اللَّولة اللي كانت القضية المركزية ديالها هي ميزان القوى.,The War of Spanish Succession marked the first war whose central issue was the balance of power.,كانت حرب الخلافة الإسبانية هي الحرب الأولى التي كانت القضية المركزية لها هي توازن القوى.
كتربط قناة البحر الأبيض- البلطيق المحيط المتجمد الشمالي ببحر البلطيق ، من بحيرة أونيغا وبحيرة لادوجا وسانت بطرسبرغ ، عن طريق الويدان والبحيرات فالغالب.,"The White Sea–Baltic Canal connects the Arctic Ocean to the Baltic Sea, via Lake Onega, Lake Ladoga and Saint Petersburg, mostly by rivers and lakes.",تربط قناة البحر الأبيض والبحر البلطيق المحيط الشمالي بالبحر البلطيق ، عبر بحيرة أونيجا وبحيرة لادوجا وسانت بطرسبرج ، معظمها بواسطة الأنهار والبحيرات.
الهدف الفعلي هو يتعطا لديك الشركات بزاف دالسيطرة على لأسواق ديالها؛ الأمر كلو متعلق بأنه لفلوس تدور.,The actual purpose is to give those companies more control over their markets; it's all about money spinning.,الغرض الفعلي هو إعطاء تلك الشركات المزيد من السيطرة على أسواقها؛ كل شيء يتعلق بتدوير المال.
النصيحة كتقول أن المسافرين لا مكيسرقوش أو يتعداو على ممتلكات الغير أو يشاركو في السوق غير القانوني أو التسول أو يستغلو الآخرين باش يحققو مكاسب خاصة بهم.,"The advice assumes that travellers do not steal, trespass, participate in the illegal market, beg, or otherwise exploit other people for their own gain.",وتفترض هذه النصيحة أن المسافرين لا يسرقون أو يتسللون أو يشاركون في السوق غير القانونية أو يتسولون أو يستغلون الآخرين من أجل مكاسبهم الخاصة.
كانت الطيارا غاديا ل إيركوتسك و كانو ااقوات الداخلية لي كيخدموها,The aircraft had been headed to Irkutsk and was being operated by interior troops.,كانت الطائرة متجهة إلى إيركوتسك وكانت تديرها القوات الداخلية.
الطحالب كتنتج واحد السم عصبي لي يقدر يشلل الأعصاب ديال البشر و الحوت.,The algae produces a neurotoxin that can disable nerves in both humans and fish.,تنتج الطحالب سم عصبي يمكن أن يعطل الأعصاب في كل من البشر والأسماك.
كيما قال بيتمان، الكمية والغلظ ديال الثلج، كيخليه يكون أخيب واحد بالنسبة للصيادا فهاد 15 عام اللخرا.,"The amount and thickness of the pack ice, according to Pittman, is the worst it has been for sealers in the past 15 years.",كمية وسمك الجليد ، وفقًا لبيتمان ، هو أسوأ ما كان عليه لصيادي الفقمات في السنوات الخمس عشرة الماضية.
لمدينة لقديمة في تلال يهودا عندها تاريخ زوين كيمتد لآلاف السنين.,The ancient city in the Judean Hills has a fascinating history spanning thousands of years.,المدينة القديمة في التلال اليهودية لها تاريخ رائع يمتد لآلاف السنين.
كانت طريقة الحصول على المعلومات مختلفة.مبقاش طاين الضغط فالاستدعاء الفردي، لكن القدرة على تذكر النص ولات كتتركز بزاف.,"The approach to obtaining information was different. No longer did pressure reside within individual recall, but the ability to recall text became more of a focus.",كان النهج للحصول على المعلومات مختلفًا: لم يعد الضغط موجودًا في التذكير الفردي ، ولكن أصبحت القدرة على تذكير النص أكثر تركيزًا.
الحدث الفني كان غير جزء من الحملة لي دارها المجلس ديال مدينةْ بوخاريست و لي فيه كانو كيحاولو من خلالها باش يعطيو واحد الصورة للعاصمة الرومانية على انها مدينة إبداعية و فيها اللوان بزاف.,The artistic event is also part of a campaign by the Bucharest City Hall that seeks to relaunch the image of the Romanian capital as a creative and colourful metropolis.,يعد الحدث الفني أيضًا جزءًا من حملة مديرية مدينة بوخارست التي تسعى إلى إعادة إطلاق صورة العاصمة الرومانية كعاصمة إبداعية وملونة.
يمكن اعتبار الذرة واحدة من الأساسيات لكل مادة.,The atom can be considered to be one of the fundamental building blocks of all matter.,يمكن اعتبار الذرة واحدة من اللبنات الأساسية لجميع المواد.
هاد الهجوم خلاّ واحد الضغط كبير على العلاقات بين الهند و باكيستان,The attack put a huge strain on relations between India and Pakistan.,أدى الهجوم إلى ضغط كبير على العلاقات بين الهند وباكستان.
كان ميزان القوى نظامًا سعت فيه الدول ديال أوروبا إلى الحفاظ على السيادة الوطنية لجميع الدول ديال أوروبا.,The balance of power was a system in which European nations sought to maintain the national sovereignty of all European states.,كان توازن القوى نظامًا سعت فيه الدول الأوروبية إلى الحفاظ على السيادة الوطنية لجميع الدول الأوروبية.
الفرقه لغات العرض لي كان فملعب ماوز وار ميمريال، ولي كان غادي يحضر ليه 9000 واحد، و اعتذرات من الجماهير.,"The band canceled the show at Maui's War Memorial Stadium, which was set to be attended by 9,000 people, and apologized to fans.",ألغت الفرقة العرض في ملعب ماوي التذكاري للحرب ، الذي كان من المقرر أن يحضره 9000 شخص ، واعتذرت للمشجعين.
الشركة ديال الفرقه، HK Management Inc، ماعطات حتا سبب فاللول فاش لغاو العرض ف 20 شهر تسعود (9). ولكن فالنهار الثاني ردّات اللومة للأسباب اللوجيستيكية.,"The band's management company, HK Management Inc., gave no initial reason when they canceled on September 20, but blamed logistical reasons by the next day.",لم تقدم شركة إدارة الفرقة ، HK Management Inc. ، أي سبب أولي عندما ألغوا في 20 سبتمبر ، لكنها ألقيت باللوم على أسباب لوجستية في اليوم التالي.
كيقلب المومن على خبرة أو حدس أو نظرة ثاقبة للواقع الإلهي / الإله.,"The believer seeks a direct experience, intuition, or insight into divine reality/the deity or dieties.",يسعى المؤمن إلى تجربة مباشرة أو حدس أو نظرة ثاقبة في الواقع الإلهي أو الإله أو الآلهة.
السلاح ديال متزلج جديد له حدان مع تجويف بينهما. الحدان يجعلو التزلج اكثر ثباتا حتي مع الانحناء,"The blade on a modern ice skate has a double edge with a concave hollow between them. The two edges allow for a better grasp of the ice, even when tilted.",الشفرة على التزلج على الجليد الحديث لها حافة مزدوجة مع تجويف مقعر بينهما ، وتسمح الحافتان بإمساك أفضل للجليد ، حتى عندما يكون مائلًا.
